i,direction,te,ete,se,p,history length
Still 2,L->R,0.059610494,0,0.009904099,0.32,6
Still 2,R->L,0.058859364,0,0.009349513,0.21,6
Still 2,L->R,0.062338489,0,0.00998492,0.7,7
Still 2,R->L,0.059361798,0,0.00888284,0.52,7
Still 2,L->R,0.06438343,0,0.011595342,0.9,8
Still 2,R->L,0.058118027,0,0.010219509,0.81,8
Still 2,L->R,0.056529546,0,0.010745129,1,9
Still 2,R->L,0.058342805,0,0.010534557,0.96,9
Still 2,L->R,0.054388929,0,0.010286515,1,10
Still 2,R->L,0.057574516,0,0.010086312,0.99,10
Still 2,L->R,0.054081232,0,0.011320448,1,11
Still 2,R->L,0.055202762,0,0.010410578,1,11
Still 2,L->R,0.056053967,0,0.010489511,1,12
Still 2,R->L,0.05348541,0,0.010013369,1,12
Still 2,L->R,0.060363381,0,0.010530807,1,13
Still 2,R->L,0.053055511,0,0.010839159,1,13
Still 2,L->R,0.060831745,0,0.010251066,1,14
Still 2,R->L,0.051586452,0,0.010112894,1,14
Still 2,L->R,0.059439059,0,0.009789774,1,15
Still 2,R->L,0.049567013,0,0.00934551,1,15
Still 2,L->R,0.057987355,0,0.007626197,1,16
Still 2,R->L,0.047843564,0,0.008017283,1,16
Still 2,L->R,0.058888375,0,0.008245029,1,17
Still 2,R->L,0.044385587,0,0.007683698,1,17
Still 2,L->R,0.058261214,0,0.008782599,1,18
Still 2,R->L,0.042146404,0,0.007765663,1,18
Still 2,L->R,0.059334428,0,0.008030237,1,19
Still 2,R->L,0.043107012,0,0.008910051,1,19
Still 2,L->R,0.063938745,0,0.008694363,1,20
Still 2,R->L,0.040317388,0,0.007205254,1,20
Still 3,L->R,0.003921314,0.001594457,0.001052901,0.08,1
Still 3,R->L,0.009569664,0.007126413,0.001319996,0,1
Still 3,L->R,0.014587929,0.004019634,0.002227032,0.08,2
Still 3,R->L,0.018378719,0.005971971,0.002431869,0.02,2
Still 3,L->R,0.025044552,0.002602395,0.004242532,0.27,3
Still 3,R->L,0.026716766,0,0.004507757,0.16,3
Still 3,L->R,0.044279585,0.007436623,0.005812996,0.07,4
Still 3,R->L,0.041141216,0,0.005823178,0.12,4
Still 3,L->R,0.05893035,0.006340699,0.00730079,0.06,5
Still 3,R->L,0.060208715,0,0.009087454,0.05,5
Still 3,L->R,0.068361384,0.006609598,0.0092433,0.16,6
Still 3,R->L,0.064036692,0,0.008161097,0.15,6
Still 3,L->R,0.077945072,0.007075061,0.008548682,0.19,7
Still 3,R->L,0.069162931,0,0.010414263,0.42,7
Still 3,L->R,0.081037602,0.007045893,0.009791202,0.56,8
Still 3,R->L,0.070562723,0,0.009437188,0.77,8
Still 3,L->R,0.08238115,0.006368095,0.010648723,0.89,9
Still 3,R->L,0.072504545,0,0.009579889,0.94,9
Still 3,L->R,0.080102808,0.002685155,0.01078667,0.97,10
Still 3,R->L,0.073269962,0,0.011068846,0.95,10
Still 3,L->R,0.08110267,0.000485278,0.010366547,1,11
Still 3,R->L,0.068652805,0,0.00944899,0.99,11
Still 3,L->R,0.079498595,0,0.010201376,1,12
Still 3,R->L,0.068456739,0,0.011233752,0.99,12
Still 3,L->R,0.07433098,0,0.008623061,1,13
Still 3,R->L,0.068301785,0,0.009058822,1,13
Still 3,L->R,0.075499129,0,0.009836343,1,14
Still 3,R->L,0.06350625,0,0.009060885,1,14
Still 3,L->R,0.0773918,0,0.009163078,1,15
Still 3,R->L,0.066937545,0,0.008785128,1,15
Still 3,L->R,0.075001538,0,0.008865157,1,16
Still 3,R->L,0.065026491,0,0.008880188,1,16
Still 3,L->R,0.074129641,0,0.010123723,1,17
Still 3,R->L,0.064895742,0,0.007857609,1,17
Still 3,L->R,0.077034737,0,0.008643596,1,18
Still 3,R->L,0.061050736,0,0.008266546,1,18
Still 3,L->R,0.077500882,0,0.009067397,1,19
Still 3,R->L,0.056771701,0,0.008983535,1,19
Still 3,L->R,0.075085745,0,0.008809247,1,20
Still 3,R->L,0.05530754,0,0.008211068,1,20
